Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Kafka consumer,1,72582,72582,72582,0.00,0.000%,.01378,0.00,0.00,.0
TOTAL,1,72582,72582,72582,0.00,0.000%,.01378,0.00,0.00,.0
